5 3 A #3 = 0, #5 = 5
7 1 CBAABAAABAAABABA #3 = 10, #5 = 2
7 2 CBAABAAABAAABABAAAABA #3 = 12, #5 = 2
7 1 CBAABAAABAAABABAAAAB #3 = 14, #5 = 2
7 1 CBAABAAABAAABABAAAB #3 = 16, #5 = 2
7 1 CBAABAAABAAABABAABAB #3 = 16, #5 = 2
7 2 CBAABAAACA #3 = 4, #5 = 4
7 3 CBAABAAACAAAAAAAAAAAB #3 = 6, #5 = 4
7 3 CBAABAAACAAAAABA #3 = 6, #5 = 4
7 1 CBAABAAACAAAABA #3 = 6, #5 = 4
7 2 CBAABAAACAAAABAAAAAAB #3 = 8, #5 = 4
7 2 CBAABAAACAAAABAAAAABA #3 = 8, #5 = 4
7 1 CBAABAAACAAAABAAAAAB #3 = 10, #5 = 4
7 1 CBAABAAACAAAABAAAABAB #3 = 10, #5 = 4
7 2 CBAABAAACAAAACBA #3 = 6, #5 = 6
7 1 CBAABAAACBAAAAAAAAAAB #3 = 8, #5 = 4
7 4 CBAABBA #3 = 6, #5 = 2
7 4 CBAABBAAAAAAAABAAAABA #3 = 10, #5 = 2
7 2 CBAABBAABAAAAAAAAAAAB #3 = 10, #5 = 2
7 2 CBAABBAABAAAAABA #3 = 10, #5 = 2
7 2 CBAABBAABAAAAABAAAAB #3 = 14, #5 = 2
7 1 CBAABBAABAAAABA #3 = 10, #5 = 2
7 1 CBAABBAABAAAABAAAAABA #3 = 12, #5 = 2
7 1 CBAABBAABAAAABAAAAAB #3 = 14, #5 = 2
7 2 CBAABBAABBAAAAAAAAAAB #3 = 12, #5 = 2
7 2 CBAABBAABBAAAABA #3 = 12, #5 = 2
7 2 CBAABBAABBAAAABAAAAB #3 = 16, #5 = 2
7 1 CBAABBAABBAABABA #3 = 14, #5 = 2
7 1 CBAABBAABBAABABAAAAAB #3 = 16, #5 = 2
7 1 CBAABBAABBAABABAAAABA #3 = 16, #5 = 2
7 1 CBAABBAABBAABABAAAAB #3 = 18, #5 = 2
7 1 CBAABBAABBAABABAAABBA #3 = 18, #5 = 2
7 4 CBABA #3 = 4, #5 = 2
7 4 CBABAAAAAAAAAABAAAABA #3 = 8, #5 = 2
7 2 CBABAAAABAAAAAAAAAAAB #3 = 8, #5 = 2
7 2 CBABAAAABAAAAABA #3 = 8, #5 = 2
7 2 CBABAAAABAAAAABAAAAB #3 = 12, #5 = 2
7 1 CBABAAAABAAAABBA #3 = 10, #5 = 2
7 1 CBABAAAABAAAABBAAAABA #3 = 12, #5 = 2
7 1 CBABAAAABAAAABBAAAAB #3 = 14, #5 = 2
7 2 CBABAAAACAAAAAAAAAAAB #3 = 6, #5 = 4
7 2 CBABAAAACAAAAABA #3 = 6, #5 = 4
7 1 CBABAAAACAAAABA #3 = 6, #5 = 4
7 1 CBABAAAACAAAABAAAAAAB #3 = 8, #5 = 4
7 1 CBABAAAACAAAABAAAAABA #3 = 8, #5 = 4
7 1 CBABAAAACAAAABAAAAAB #3 = 10, #5 = 4
7 1 CBABAAAACAAAACBA #3 = 6, #5 = 6
7 2 CBABAAAACBAAAAAAAAAAB #3 = 8, #5 = 4
7 1 CBABAAAACBAAACA #3 = 6, #5 = 6
7 4 CBABAAABA #3 = 6, #5 = 2
7 4 CBABAAABAAAAAAAAAAAAB #3 = 8, #5 = 2
7 2 CBABAAABAAAAAABA #3 = 8, #5 = 2
7 2 CBABAAABAAAAAABAAAAAB #3 = 10, #5 = 2
7 2 CBABAAABAAAAAACA #3 = 6, #5 = 4
7 2 CBABAAABAAAAAACAAAAAB #3 = 8, #5 = 4
7 1 CBABAAABAAAABA #3 = 8, #5 = 2
7 1 CBABAAABAAAABAAAAAAAB #3 = 10, #5 = 2
7 1 CBABAAABAAAABAAAAAAB #3 = 12, #5 = 2
7 1 CBABAAABAAAABAAAAAACA #3 = 8, #5 = 4
7 1 CBABAAABAAAABACA #3 = 8, #5 = 4
7 1 CBABAAABAAAABACAAAAAB #3 = 10, #5 = 4
7 1 CBABAAABAAAACA #3 = 6, #5 = 4
7 1 CBABAAABAAAACAAAAAAAB #3 = 8, #5 = 4
7 1 CBABAAABAAAACAAAAAABA #3 = 8, #5 = 4
7 1 CBABAAABAAAACAAAAAACB #3 = 8, #5 = 6
7 1 CBABAAABAAAACABA #3 = 8, #5 = 4
7 1 CBABAAABAAAACABAAAAAB #3 = 10, #5 = 4
7 1 CBABAAABAAAACABAAAACA #3 = 8, #5 = 6
7 2 CBABAAABAAAACBA #3 = 8, #5 = 4
7 1 CBABAAABAAAACBAAAACA #3 = 8, #5 = 6
7 1 CBABAAABAAAACBAAAACBA #3 = 10, #5 = 6
7 4 CBABAAABBA #3 = 8, #5 = 2
7 4 CBABAAABBAAAAAAAAAAAB #3 = 10, #5 = 2
7 2 CBABAAABBAAAAABA #3 = 10, #5 = 2
7 2 CBABAAABBAAAAABAAAAAB #3 = 12, #5 = 2
7 2 CBABAAABBAAAAACA #3 = 8, #5 = 4
7 2 CBABAAABBAAAAACAAAAAB #3 = 10, #5 = 4
7 2 CBABAAABBAAAABA #3 = 10, #5 = 2
7 2 CBABAAABBAAAABAAAAAAB #3 = 12, #5 = 2
7 2 CBABAAABBAAAACA #3 = 8, #5 = 4
7 2 CBABAAABBAAAACAAAAAAB #3 = 10, #5 = 4
7 1 CBABAAABBAAABA #3 = 10, #5 = 2
7 1 CBABAAABBAAABAAAAAAAB #3 = 12, #5 = 2
7 1 CBABAAABBAAABAAAAAABA #3 = 12, #5 = 2
7 1 CBABAAABBAAABAAAAABAB #3 = 14, #5 = 2
7 1 CBABAAABBAAABAAAAACA #3 = 10, #5 = 4
7 1 CBABAAABBAAABABA #3 = 12, #5 = 2
7 1 CBABAAABBAAABABAAAAAB #3 = 14, #5 = 2
7 1 CBABAAABBAAABABAAAAB #3 = 16, #5 = 2
7 1 CBABAAABBAAABABAAABAB #3 = 16, #5 = 2
